addr,time,in_mean_inter_time,in_std_inter_time,in_mad_inter_time,out_mean_inter_time,out_std_inter_time,out_mad_inter_time,tot_mean_inter_time,tot_std_inter_time,tot_mad_inter_time,in_mean_length,in_std_length,in_mad_length,in_count,out_mean_length,out_std_length,out_mad_length,out_count,tot_mean_length,tot_std_length,tot_mad_length,tot_count,in_mean_payload_data_length,in_std_payload_data_length,in_mad_payload_data_length,out_mean_payload_data_length,out_std_payload_data_length,out_mad_payload_data_length,tot_mean_payload_data_length,tot_std_payload_data_length,tot_mad_payload_data_length
3,45.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
7,45.0,0.0624635,0.0412635,0.0412635,0.051734,0.0183833,0.013912,0.0299178,0.0138107,0.0125635,47.7,2.1,2.0,3.0,51.2,4.1,2.5,4.0,49.7,3.8,5.0,7.0,8.1,4.3,5.0,6.2,4.6,3.0,8.1,4.3,5.0
8,50.0,1.53084,0.0,0.0,,,,1.53084,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
0,50.0,,,,1.8176075,1.7622795,1.7622795,1.2117383,1.674547,0.016156,50.0,0.0,0.0,1.0,50.7,6.0,3.0,3.0,50.5,5.2,2.5,4.0,11.5,2.3,1.5,11.0,2.4,3.0,11.5,2.3,1.5
7,50.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
6,50.0,0.055328,0.0,0.0,,,,0.027664,0.008078,0.008078,46.5,1.5,1.5,2.0,50.0,0.0,0.0,1.0,47.7,2.1,2.0,3.0,10.7,2.1,2.0,13.0,0.0,0.0,10.7,2.1,2.0
8,55.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,55.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,60.0,0.246908,0.0,0.0,,,,0.246908,0.0,0.0,59.0,0.0,0.0,2.0,,,,0.0,59.0,0.0,0.0,2.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
3,60.0,,,,,,,,,,,,,0.0,59.0,0.0,0.0,1.0,59.0,0.0,0.0,1.0,,,,14.0,0.0,0.0,14.0,0.0,0.0
8,65.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
0,65.0,0.018051,0.0,0.0,1.50155,0.0,0.0,0.5005167,0.6759943,0.008945,53.0,0.0,0.0,2.0,52.0,7.0,7.0,2.0,52.5,5.0,3.0,4.0,13.5,3.3,1.0,11.0,3.0,3.0,13.5,3.3,1.0
6,65.0,,,,0.018051,0.0,0.0,0.0225235,0.0044725,0.0044725,45.0,0.0,0.0,1.0,53.0,0.0,0.0,2.0,50.3,3.8,0.0,3.0,13.3,3.8,0.0,16.0,0.0,0.0,13.3,3.8,0.0
8,70.0,,,,,,,,,,59.0,0.0,0.0,1.0,,,,0.0,59.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,14.0,0.0,0.0
6,70.0,0.2041422,0.3107181,0.0096195,4.362475,0.0,0.0,0.7306087,1.2938115,0.0126145,48.2,4.0,0.0,5.0,56.0,3.0,3.0,2.0,50.4,5.1,7.0,7.0,12.3,3.8,3.0,15.0,1.0,1.0,12.3,3.8,3.0
0,70.0,,,,0.2041422,0.3107181,0.0096195,0.1633138,0.278921,0.00606,53.0,0.0,0.0,1.0,48.2,4.0,0.0,5.0,49.0,4.0,3.5,6.0,12.0,4.0,3.5,11.2,4.0,0.0,12.0,4.0,3.5
